iter	Passed	Remaining
411	4677	6676
412	4681	6653
413	4684	6630
414	4700	6625
415	4703	6602
416	4716	6593
417	4719	6570
418	4722	6547
419	4731	6534
420	4734	6511
421	4746	6500
422	4749	6478
423	4752	6455
424	4755	6433
425	4761	6415
426	4776	6410
427	4780	6388
428	4792	6378
429	4794	6356
430	4797	6334
431	4823	6341
432	4827	6321
433	4837	6309
434	4841	6288
435	4885	6319
436	4888	6298
437	4892	6277
438	4899	6260
439	4915	6256
440	4946	6269
441	4962	6264
442	4978	6259
443	5009	6273
444	5013	6252
445	5025	6243
446	5041	6237
447	5044	6215
448	5047	6194
449	5088	6219
450	5092	6198
451	5121	6209
452	5137	6203
453	5140	6182
454	5152	6171
455	5167	6164
456	5170	6144
457	5174	6123
458	5183	6109
459	5213	6119
460	5216	6098
461	5219	6078
462	5222	6057
463	5228	6039
464	5231	6018
465	5234	5998
466	5237	5977
467	5244	5961
468	5247	5941
469	5250	5921
470	5259	5907
471	5275	5901
472	5278	5880
473	5281	5860
474	5284	5840
475	5290	5823
476	5293	5803
477	5296	5783
478	5305	5770
479	5321	5764
480	5324	5744
481	5336	5734
482	5339	5715
483	5351	5704
484	5367	5699
485	5370	5679
486	5381	5669
487	5412	5678
488	5416	5659
489	5428	5649
490	5443	5643
491	5459	5636
492	5462	5617
493	5490	5623
494	5505	5617
495	5508	5597
496	5537	5604
497	5553	5598
498	5567	5590
499	5584	5584
500	5615	5593
501	5646	5601
502	5661	5594
503	5676	5586
504	5692	5579
505	5707	5571
506	5710	5552
507	5737	5557
508	5741	5538
509	5752	5526
510	5767	5519
511	5798	5526
512	5814	5519
513	5829	5512
514	5832	5493
515	5835	5473
516	5838	5454
517	5844	5438
518	5847	5419
519	5850	5400
520	5853	5381
521	5856	5362
522	5859	5344
523	5875	5337
524	5878	5318
525	5890	5308
526	5893	5290
527	5897	5271
528	5899	5253
529	5905	5237
530	5908	5218
531	5921	5208
532	5924	5190
533	5927	5172
534	5930	5154
535	5936	5139
536	5952	5132
537	5955	5114
538	5958	5096
539	5967	5083
540	5984	5077
541	6031	5096
542	6047	5089
543	6062	5082
544	6078	5075
545	6109	5080
546	6113	5062
547	6140	5064
548	6172	5070
549	6187	5062
550	6201	5053
551	6234	5059
552	6250	5052
553	6266	5044
554	6281	5036
555	6297	5029
556	6300	5011
557	6313	5000
558	6316	4983
559	6320	4965
560	6329	4952
561	6345	4945
562	6359	4936
563	6375	4928
564	6390	4919
565	6393	4902
566	6405	4891
567	6421	4883
568	6424	4866
569	6436	4855
570	6439	4838
571	6443	4821
572	6450	4807
573	6466	4799
574	6482	4791
575	6513	4794
576	6516	4777
577	6529	4766
578	6532	4749
579	6535	4732
580	6544	4720
581	6547	4702
582	6550	4685
583	6554	4668
584	6576	4665
585	6579	4648
586	6582	4631
587	6585	4614
588	6592	4599
589	6623	4602
590	6626	4585
591	6629	4568
592	6632	4552
593	6635	4535
594	6653	4528
595	6656	4512
596	6668	4501
597	6684	4493
598	6699	4484
599	6702	4468
600	6705	4451
601	6708	4435
602	6711	4418
603	6729	4411
604	6732	4395
605	6744	4384
606	6747	4368
607	6750	4352
608	6753	4335
609	6756	4319
610	6759	4303
611	6762	4287
612	6765	4271
613	6775	4259
614	6778	4243
615	6791	4233
616	6794	4217
617	6797	4201
618	6800	4185
619	6802	4169
620	6806	4153
621	6822	4146
622	6825	4130
623	6828	4114
624	6838	4103
625	6841	4087
626	6853	4076
627	6856	4061
628	6869	4051
629	6873	4036
630	6884	4026
631	6915	4026
632	6930	4018
633	6933	4002
634	6937	3987
635	6940	3972
636	6960	3966
637	6974	3957
638	6991	3949
639	7006	3941
640	7038	3941
641	7054	3933
642	7057	3918
643	7070	3908
644	7073	3893
645	7101	3891
646	7104	3876
647	7117	3866
648	7132	3857
649	7164	3857
